"giliese_catalogue_name";"bayer_flamsteed_designation";"proper_name";"absolute_magnitude";"spectral_type";"colour_index";"x_parsecs";"y_parsecs";"z_parsecs";"constellation";"luminosity"
;;;"-10.130";"B8";"0.334";"14047.765986";"40118.145408";"90516.267487";"Cam";"981747.9430199864"
;;;"-10.790";"F0V";"0.385";"31438.316583";"89857.693688";"-30614.165602";"Eri";"1803017.74085957"
;;;"-11.370";"B3V";"0.520";"23045.284810";"66021.954955";"71484.378097";"Per";"3076096.814740705"
;;;"-12.150";"K5/M0III";"1.631";"31682.990318";"90945.699519";"-26927.084200";"Eri";"6309573.444801942"
;;;"-12.490";"B9...";"0.310";"24019.006751";"69806.674206";"67454.544331";"Per";"8629785.477669703"
;"56    Eri";;"-14.220";"B2Ve";"-0.076";"32162.722283";"93524.867631";"-14787.104406";"Eri";"42461956.3946313"
;;;"-10.470";"G8";"0.990";"25350.813226";"73805.007409";"-62531.249390";"Cae";"1342764.9611378643"
;;;"-11.690";"K5";"1.660";"26202.234290";"76344.064247";"59034.115327";"Aur";"4130475.0199016104"
;;;"-10.470";"K0";"1.303";"15808.866685";"46109.518011";"87315.474476";"Cam";"1342764.9611378643"
;;;"-10.580";"K1III";"1.198";"19341.379710";"56603.900638";"-80136.817154";"Pic";"1485935.642287009"
;;;"-8.680";;;"23348.520499";"68677.326265";"68835.103309";"Per";"258226.01906345956"
;;;"-10.060";"A2";"0.305";"17849.366910";"52534.755296";"83195.550283";"Cam";"920449.5717531722"
;;;"-10.200";"K0";"1.481";"23632.586985";"69907.484296";"67486.624391";"Per";"1047128.5480508985"
;;;"-11.050";"K2IV";"1.522";"19678.366589";"58366.163359";"-78779.139771";"Pic";"2290867.6527677746"
;;;"-11.020";"K1III";"1.087";"27427.422076";"81528.647391";"-50998.197742";"Cae";"2228435.149270303"
;;;"-11.110";"A0";"0.254";"15110.069236";"44953.449880";"88039.043337";"Cam";"2421029.04673618"
;;;"-9.890";"K8-M8e";"1.500";"8189.995463";"24372.386588";"96638.039881";"Cam";"787045.7896951"
;;;"-7.800";;;"8637.453328";"25743.764743";"96242.677524";;"114815.36214968817"
;;;"-11.300";"G8III";"0.980";"20138.485051";"60164.515754";"-77296.005485";"Pic";"2884031.503126606"
;;;"-11.120";"B8";"0.205";"21643.552416";"64689.717073";"73121.796626";"Per";"2443430.5526939714"
;;;"-12.520";"K2/K3II:pe";"1.472";"20671.126741";"61922.322485";"-75751.771393";"Pic";"8871560.120379599"
;;;"-11.010";"K5";"1.553";"31147.347417";"93353.611641";"-17746.716384";"Eri";"2208004.733018901"
;;;"-12.380";"K3III";"1.472";"25013.469865";"75338.241010";"-60815.094892";"Cae";"7798301.105232594"
;;;"-10.820";"K2";"1.260";"30127.634915";"91128.683992";"28069.352831";"Tau";"1853531.6234148142"
;;;"-8.730";"B1.5Ia:";"0.104";"12166.576578";"36936.477455";"-92128.557177";"Dor";"270395.8364108846"
;;;"-12.340";"C";"2.391";"25162.584305";"76662.518997";"-59073.704219";"Cae";"7516228.940182045"
;;;"-11.540";"F0";"0.463";"22607.559030";"69050.107595";"68709.394852";"Per";"3597493.351557431"
;;;"-10.150";;"1.500";"17537.478703";"53577.088142";"-82594.990568";"Dor";"1000000"
;;;"-8.030";;;"30243.848440";"92576.345785";"22692.065411";"Ori";"141905.75216890927"
;;;"-11.330";"A";"0.310";"23680.488423";"72577.398266";"64589.130115";"Per";"2964831.3895243453"
;;;"-10.550";"B8";"0.144";"20186.788589";"61985.859471";"75830.381722";"Per";"1445439.770745928"
;;;"-10.670";"A3";"0.194";"17697.578772";"54357.472244";"82049.137210";"Cam";"1614358.556826487"
;;;"-10.410";"A3";"0.324";"18540.862148";"57083.832182";"79985.452016";"Cam";"1270574.105208542"
;;;"-12.230";"K5III";"1.639";"28962.042373";"89563.179980";"-33758.508460";"Eri";"6792036.326171843"
;;;"-11.030";"B9";"0.075";"20300.353820";"63014.761121";"74946.884629";"Per";"2249054.605835783"
;;;"-10.710";"A2V";"0.360";"30066.236696";"93490.995753";"18853.517551";"Ori";"1674942.876026438"
;;;"-12.300";"Ape";"0.423";"22229.641944";"69329.853391";"68550.816576";"Per";"7244359.600749891"
;;;"-12.160";"K4III";"1.490";"22491.232484";"71007.825648";"-66723.557745";"Cae";"6367955.209079149"
;;;"-11.140";"F8";"0.901";"22306.631194";"70531.850664";"67287.979950";"Per";"2488857.3182823956"
;;;"-13.150";"B1II-IIIn..";"-0.045";"29722.595633";"94354.485520";"14621.847241";"Ori";"15848931.924611142"
;;;"-8.460";"A9.5";;"19034.420578";"60471.151079";"-77336.477296";"Pic";"210862.8149933293"
;;;"-11.310";"K2";"1.665";"12561.346234";"39908.225401";"90827.012095";"Cam";"2910717.118066608"
;;;"-10.820";"C4II";"2.750";"28683.346667";"91848.610474";"27223.123370";"Tau";"1853531.6234148142"
;;;"-10.810";"K3/K4III:";"1.384";"23155.214330";"74171.640869";"-62947.626962";"Cae";"1836538.3433483473"
;;;"-8.470";"M10e";"1.500";"29628.357017";"95352.567492";"5481.636001";"Ori";"212813.90459827133"
;;;"-10.810";"M1III:";"1.668";"24774.744104";"80221.481671";"-54320.584801";"Cae";"1836538.3433483473"
;;;"-11.610";"K0";"1.244";"29356.998324";"95455.142219";"-5146.112441";"Ori";"3837072.454922792"
;;;"-11.050";"K0";"1.054";"29370.874174";"95589.375454";"-151.824455";"Ori";"2290867.6527677746"
;;;"-11.250";"A0";"0.297";"26892.602315";"87779.764345";"39642.160793";"Tau";"2754228.7033381746"
;;;"-9.870";;"0.832";"13627.248316";"44678.626687";"-88420.124523";"Dor";"772680.5850957021"
;;;"-10.790";"K0";"1.112";"27516.421446";"90221.540071";"-33210.243269";"Eri";"1803017.74085957"
;;;"-11.370";"N0v";"2.554";"22689.637514";"74893.223106";"62259.019744";"Aur";"3076096.814740705"
;;;"-9.600";"A2";"0.506";"24993.805178";"82561.291851";"50585.994016";"Aur";"602559.5860743581"
;;;"-9.840";"K0";"1.528";"15398.838346";"50982.230520";"84638.572464";"Cam";"751622.894018206"
;;;"-11.550";"K2/K3III";"1.274";"26109.604497";"86516.007122";"-42816.691426";"Eri";"3630780.54770101"
;;;"-11.070";"K0III";"1.068";"26631.803157";"89040.212799";"-36913.243765";"Eri";"2333458.0622810046"
;;;"-8.830";;"0.669";"4233.444694";"14190.070838";"98897.521889";"Cep";"296483.1389524345"
;;;"-9.020";"B5Iab:";"0.094";"10352.360653";"34793.584227";"-93178.512145";"Dor";"353183.169791957"
;;;"-10.940";"K4/K5III:";"1.449";"13882.381174";"46671.639037";"-87344.362168";"Dor";"2070141.3487910414"
;;;"-9.320";;"0.617";"25490.600737";"85841.367445";"-44513.918153";"Eri";"465586.0935229591"
;;;"-10.890";"K0III";"0.994";"20795.055282";"70099.704534";"-68217.278604";"Cae";"1976969.640111862"
;;;"-11.050";"K0";"1.071";"28387.188300";"95733.938545";"5401.902542";"Ori";"2290867.6527677746"
;"9Alp Cam";;"-15.740";"O9.5Ia SB:";"-0.008";"11388.133562";"38476.633833";"91596.173902";"Cam";"172186857.49860096"
;;;"-11.610";"B9";"-0.058";"28108.274786";"95280.293369";"-11471.293908";"Eri";"3837072.454922792"
;;;"-8.990";"F2";"0.466";"26867.949572";"91100.229751";"31286.761179";"Tau";"343557.947899875"
;;;"-10.790";"K5";"1.651";"15162.082459";"51468.506569";"-84386.634528";"Dor";"1803017.74085957"
;;;"-9.780";"G5IV/V";"0.753";"24581.208316";"83898.075327";"-48547.679184";"Cae";"711213.5136533296"
;;;"-9.950";"K5";"1.545";"21106.316373";"72263.304940";"65822.018871";"Aur";"831763.7711026708"
;;;"-9.180";"A0Ia";"0.039";"11052.276891";"37891.473588";"-91880.810863";"Dor";"409260.65973001096"
;;;"-11.730";"M...";"1.896";"21161.679087";"72743.479578";"65273.038210";"Aur";"4285485.203974392"
;;;"-11.730";"K3/K4IV";"1.699";"17964.188706";"61793.306460";"-76543.289719";"Pic";"4285485.203974392"
;;;"-10.380";"G5";"0.934";"27790.462484";"95762.406628";"-7566.483455";"Eri";"1235947.433444512"
;;;"-11.140";"A0";"0.025";"16753.800774";"57740.355798";"79908.456824";"Cam";"2488857.3182823956"
;;;"-8.800";"A1";"0.149";"10679.358838";"36854.682423";"-92345.458353";"Dor";"288403.15031266114"
;;;"-9.930";"F6";"0.488";"9510.245153";"32917.183983";"-93946.869217";"Men";"816582.3713585923"
;;;"-11.130";"K4III:";"1.533";"23854.256540";"82959.548876";"-50484.529266";"Cae";"2466039.337234341"
;;;"-11.250";"K2III";"1.385";"16739.751512";"58461.244083";"-79385.538100";"Pic";"2754228.7033381746"
;;;"-9.710";"G4";"1.261";"27427.771199";"95968.500218";"-6145.269149";"Ori";"666806.7692136233"
;;;"-13.900";"B2Ib";"0.352";"22138.396418";"77633.589467";"59016.245064";"Aur";"31622776.60168379"
;;;"-11.190";"B9";"0.050";"18476.002324";"65197.095636";"73538.942464";"Aur";"2606153.5499988976"
;;;"-10.910";"A0";"0.171";"21101.215409";"74463.147743";"63324.389744";"Aur";"2013724.2498623894"
;;;"-10.230";"B8";"0.167";"22020.831400";"77719.120089";"58947.615365";"Aur";"1076465.213629835"
;;;"-9.350";"B";"0.165";"9386.068855";"33161.186953";"-93873.518051";"Men";"478630.092322638"
;;;"-12.230";"M...";"1.687";"27207.239539";"96191.068295";"2654.147112";"Ori";"6792036.326171843"
;;;"-10.740";"F8";"1.313";"23253.883167";"82256.688144";"-51895.030333";"Cae";"1721868.5749860096"
;;;"-10.720";"K2";"1.110";"14920.671597";"52851.342312";"83570.982853";"Cam";"1690440.9316432667"
;;;"-11.370";"K1III";"1.234";"25173.459619";"89209.716310";"-37522.305987";"Lep";"3076096.814740705"
;;;"-11.370";"F8";"0.972";"21434.591830";"75979.299664";"61381.628323";"Aur";"3076096.814740705"
;;;"-10.990";"A0";"0.202";"20975.547758";"74539.050430";"63276.823224";"Aur";"2167704.1048196964"
;;;"-10.530";"A0";"0.449";"25833.545001";"91813.062677";"30049.783270";"Tau";"1419057.5216890925"
;;;"-10.850";"K2";"1.190";"16881.047429";"60652.018402";"77694.033886";"Aur";"1905460.7179632483"
;;;"-11.670";"K2";"1.522";"8507.461292";"30768.779787";"94767.638426";"Cam";"4055085.3544838433"
;;;"-11.390";"K1III/IV";"1.303";"25825.119628";"93425.190880";"-24592.618916";"Eri";"3133285.7243155953"
;;;"-10.790";"B8";"0.160";"17785.691371";"64434.377663";"74376.610287";"Aur";"1803017.74085957"
;;;"-11.100";"A2";"0.193";"20729.136846";"75209.497005";"62560.646143";"Aur";"2398832.91901949"
;;;"-9.380";"G5";"1.050";"6357.928128";"23082.308981";"97091.625602";"Cam";"492039.5356814511"
;;;"-10.650";"G2III";"1.060";"10265.442083";"37531.200679";"-92119.650194";"Dor";"1584893.1924611141"
;;;"-10.220";"B8";"0.323";"17974.857903";"65824.238179";"73103.174702";"Aur";"1066596.121230259"
;;;"-10.020";"G2";"0.898";"10811.435509";"39759.080948";"-91117.113345";"Dor";"887156.0120379617"
;;;"-12.580";"B2IV";"-0.005";"19026.848381";"70217.071195";"68611.529349";"Aur";"9375620.069258811"
;;;"-11.720";"M...";"1.771";"25429.721496";"94130.371522";"22199.153628";"Ori";"4246195.63946313"
;;;"-10.590";"K0III";"1.124";"7585.316025";"28093.350543";"-95672.496759";"Men";"1499684.835502374"
;;;"-10.560";"K5";"1.579";"24187.168529";"89912.659276";"-36478.686660";"Lep";"1458814.2602753504"
;;;"-9.730";"F5";"0.508";"25943.488820";"96571.944621";"891.571702";"Ori";"679203.6326171857"
;;;"-11.030";"K0III";"0.976";"20331.900229";"76138.973624";"-61558.675493";"Cae";"2249054.605835783"
;;;"-9.830";"G5";"1.137";"22155.556460";"83161.670723";"-50924.138093";"Cae";"744731.9739059889"
;;;"-9.890";"G5";"0.994";"21224.150651";"79793.013005";"-56414.630238";"Cae";"787045.7896951"
;;;"-10.820";"K5";"1.700";"6768.747398";"25535.691355";"96447.459924";"Cam";"1853531.6234148142"
;;;"-10.490";"A0";"0.053";"25537.925459";"96680.143526";"-874.193792";"Ori";"1367728.8255958494"
;;;"-10.820";"K0";"1.404";"25325.085505";"96058.032770";"11467.100087";"Ori";"1853531.6234148142"
;;;"-12.250";"M2III";"1.654";"18937.951530";"71857.289875";"-66916.992489";"Cae";"6918309.709189377"
;;;"-10.900";"F";"0.226";"19938.869549";"75774.599137";"62134.142038";"Aur";"1995262.3149688828"
;;;"-9.920";"G0";"0.643";"20917.755388";"79706.239034";"56651.239779";"Aur";"809095.8991783829"
;;;"-11.460";"K0p...";"1.176";"13166.771806";"50531.604767";"-85283.017301";"Dor";"3341950.4002611497"
;;;"-11.040";"K5";"1.912";"15935.012642";"61254.652759";"77420.558559";"Aur";"2269864.851883821"
;;;"-10.380";"F5";"0.807";"23797.726634";"91637.981165";"32189.262418";"Tau";"1235947.433444512"
;;;"-11.060";"K1III";"1.241";"22739.360630";"88636.862351";"-40328.998386";"Lep";"2312064.7901755986"
;;;"-10.910";"K5";"1.595";"13192.846770";"51699.903212";"84575.816886";"Cam";"2013724.2498623894"
;;;"-11.510";"K0";"1.528";"24219.001580";"95145.358421";"18994.753849";"Ori";"3499451.6702835765"
;;;"-11.200";"M4III";"1.677";"14433.111634";"56836.093951";"-81002.121658";"Pic";"2630267.9918953762"
;;;"-9.400";"B8Ia";"0.004";"9609.577265";"37939.798468";"-92022.973854";"Dor";"501187.2336272725"
;;;"-11.100";"K0";"1.092";"24478.045894";"96912.481761";"2965.830109";"Ori";"2398832.91901949"
;;;"-11.890";"B8";"0.019";"18687.674199";"74201.302055";"64381.189816";"Aur";"4965923.214503378"
;;;"-11.870";"B9";"0.250";"18809.304909";"75551.252955";"62755.224646";"Aur";"4875284.90103386"
;;;"-10.110";"F5";"0.615";"19856.664457";"80024.549189";"56584.312347";"Aur";"963829.0236239705"
;;;"-9.120";"A0V";"0.045";"9264.848543";"37469.888874";"-92250.584489";"Dor";"387257.6449216173"
;;;"-11.650";"B9";"0.086";"18337.372622";"74412.877115";"64237.562880";"Aur";"3981071.7055349774"
;;;"-10.810";"B6V";"0.370";"16898.263525";"68714.416457";"70659.590304";"Aur";"1836538.3433483473"
;;;"-10.810";"A0";"0.076";"3815.412859";"15559.120659";"98708.441326";"Cep";"1836538.3433483473"
;;;"-11.170";"B5V SB";"-0.022";"17841.031624";"72990.694941";"65985.271542";"Aur";"2558585.886905648"
;;;"-12.370";"M2III";"1.649";"12787.377268";"52647.420876";"-84051.960463";"Pic";"7726805.850957021"
;;;"-11.460";"A0";"0.009";"23520.803273";"96865.693889";"7988.063643";"Ori";"3341950.4002611497"
;;;"-11.730";"B5III";"0.193";"16663.251694";"68645.336725";"70782.439708";"Aur";"4285485.203974392"
;;;"-11.710";"K1III";"1.309";"21590.336712";"89021.895148";"-40111.837966";"Lep";"4207266.283844455"
;;;"-10.870";"A3:Ia0e:";"0.191";"8799.877546";"36601.476931";"-92643.909901";"Dor";"1940885.8775927792"
;;;"-10.980";"K0";"1.177";"19568.380222";"81441.761612";"-54628.911402";"Col";"2147830.4741305374"
;;;"-9.770";"A5V comp";"0.293";"3950.410848";"16471.545682";"98554.971650";"Cep";"704693.0689671467"
;;;"-10.970";"K0III";"0.986";"17462.705667";"72900.864421";"-66185.480867";"Col";"2128139.0459827133"
;;;"-12.420";"G5";"0.953";"13144.381389";"55310.708379";"82267.556038";"Cam";"8090958.991783829"
;;;"-10.480";"F3V";"0.687";"20304.922045";"85452.171020";"-47808.332002";"Col";"1355189.4123510378"
;;;"-11.390";"M2/M3III:";"1.788";"18100.218261";"77023.718217";"-61153.323138";"Col";"3133285.7243155953"
;;;"-8.540";"F6";"0.574";"9261.532845";"39514.904718";"-91393.633884";"Dor";"226986.48518838212"
;;;"-11.380";"K1III";"1.223";"21036.593843";"89859.712150";"-38505.763878";"Lep";"3104559.588128362"
;;;"-10.310";"M";"1.553";"20692.108632";"88883.430948";"-40884.866923";"Lep";"1158777.3561551261"
;;;"-11.150";"K0";"1.278";"15853.603630";"68180.411890";"-71414.947220";"Pic";"2511886.4315095823"
;;;"-8.820";;"0.235";"17918.106096";"77816.602244";"60195.663375";"Aur";"293764.96519615303"
;;;"-10.400";"A";"0.129";"14094.966884";"61655.651281";"77459.102588";"Aur";"1258925.4117941686"
;;;"-10.450";"M1";"1.641";"20780.323916";"90970.615849";"-35951.706356";"Lep";"1318256.7385564074"
;;;"-9.880";"K5V";"1.423";"22133.734104";"97449.173593";"3708.959511";"Ori";"779830.1105232594"
;;;"-11.980";"B2IV";"0.069";"17065.547111";"75265.016770";"63592.014313";"Aur";"5395106.225151268"
;;;"-10.830";"K2/K3III";"1.290";"19392.499222";"86099.450515";"-47019.310873";"Col";"1870682.1403658015"
;;;"-10.650";"K5";"1.574";"17254.464481";"76645.412154";"-61868.927995";"Col";"1584893.1924611141"
;;;"-11.370";"B8";"0.121";"16993.208603";"75814.956348";"62954.930179";"Aur";"3076096.814740705"
;;;"-10.990";"K2/K3III";"1.409";"19047.578541";"85172.089872";"-48815.006489";"Col";"2167704.1048196964"
;;;"-10.170";"A0";"0.187";"20761.145559";"92862.983329";"30748.026967";"Tau";"1018591.388054117"
;;;"-11.210";"K0III";"-0.200";"21761.549373";"97363.086072";"-6845.760691";"Eri";"2654605.561975547"
;;;"-9.420";"A0Ia0";"0.093";"6951.051383";"31128.249076";"-94777.186042";"Men";"510504.9999754065"
;;;"-10.400";"A2";"0.400";"19603.461187";"87898.613102";"43468.817838";"Tau";"1258925.4117941686"
;;;"-11.650";"C5II";"2.579";"21626.634123";"97159.219596";"-9611.178691";"Eri";"3981071.7055349774"
;;;"-11.850";"B1Ve";"0.200";"17304.853064";"77961.417736";"60187.701362";"Aur";"4786300.923226381"
;;;"-10.200";"M8IIIe";"1.043";"9352.808469";"42316.573336";"-90121.210572";"Dor";"1047128.5480508985"
;;;"-11.240";"K1III";"1.280";"19977.419958";"90691.468896";"-37093.936987";"Lep";"2728977.7828080403"
;;;"-11.210";"K0";"1.000";"14422.203501";"65546.074673";"74133.070497";"Aur";"2654605.561975547"
;;;"-9.600";"B2.5Iab:e";"0.013";"7777.809427";"35360.643930";"-93215.505907";"Dor";"602559.5860743581"
;;;"-11.150";"K2III";"1.470";"20141.961409";"91728.094781";"-34354.883474";"Lep";"2511886.4315095823"
;;;"-13.290";"K1Ib";"1.594";"18378.412583";"83909.074218";"51200.597797";"Aur";"18030177.4085957"
;;;"-10.560";"B5";"0.020";"16083.092688";"73504.772041";"65866.399755";"Aur";"1458814.2602753504"
;;;"-10.590";"G2";"0.990";"13817.834382";"63202.620258";"76252.844180";"Aur";"1499684.835502374"
;;;"-12.130";"B8V";"0.033";"21226.759698";"97672.665677";"-3078.157295";"Ori";"6194410.750767824"
;;;"-11.370";"K5/M0";"1.549";"17874.356885";"82312.919681";"-53898.892563";"Col";"3076096.814740705"
;;;"-11.700";"G5";"0.761";"16410.578586";"75644.223300";"63313.856240";"Aur";"4168693.8347033467"
;;;"-10.540";"G5";"0.592";"16403.140846";"75644.601644";"63315.331576";"Aur";"1432187.8992735425"
;;;"-9.380";"A2V";"0.540";"21172.431153";"97726.121218";"-1154.725426";"Ori";"492039.5356814511"
;;;"-11.260";"B8";"0.376";"16832.739388";"77743.949213";"60601.462405";"Aur";"2779713.267759288"
;;;"-12.070";"K0II";"0.967";"19263.290048";"89045.113536";"-41229.764149";"Lep";"5861381.645140297"
;;;"-10.110";"A2";"0.111";"21031.002036";"97324.741820";"-9251.571922";"Ori";"963829.0236239705"
;;;"-11.360";"K2II/III";"1.170";"11267.743006";"52365.816708";"-84444.414902";"Dor";"3047894.9896279895"
;;;"-10.600";"F8";"0.502";"20798.014318";"97590.596572";"6596.822050";"Ori";"1513561.2484362072"
;;;"-11.040";"B9";"0.041";"15971.792076";"74983.635142";"64205.578564";"Aur";"2269864.851883821"
;;;"-11.460";"B8";"0.162";"15461.804540";"72809.964274";"66780.548983";"Aur";"3341950.4002611497"
;;;"-11.810";"B8";"0.022";"15334.890198";"72236.570770";"67429.362936";"Aur";"4613175.7456038"
;;;"-13.030";"B8";"0.037";"15821.788292";"74836.153493";"64414.448300";"Aur";"14190575.216890926"
;;;"-11.310";"G8III";"1.182";"20656.032800";"97816.002386";"2314.732447";"Ori";"2910717.118066608"
;;;"-11.470";"A1V";"0.077";"17839.610462";"84765.879258";"-49964.927822";"Col";"3372873.0865886924"
;;;"-11.110";"G8III";"0.891";"19366.271645";"92330.543840";"-33166.522228";"Lep";"2421029.04673618"
;;;"-10.960";"F6.5";"0.940";"15042.557083";"71775.941986";"67984.819056";"Aur";"2108628.149933293"
;;;"-11.170";"B8";"0.140";"16806.097700";"80352.844500";"57104.951281";"Aur";"2558585.886905648"
;;;"-11.600";"K0";"1.451";"13553.233125";"65120.734455";"74669.939172";"Aur";"3801893.9632056127"
;;;"-11.200";"A0";"0.162";"20138.089833";"96838.171716";"14725.007182";"Ori";"2630267.9918953762"
;;;"-11.060";"K0";"1.110";"19297.965903";"93147.657309";"-30839.948929";"Lep";"2312064.7901755986"
;;;"-12.620";"B2V:pe";"-0.017";"15483.037499";"74801.284972";"64537.146892";"Aur";"9727472.237769641"
;;;"-11.210";"B7IV";"-0.127";"10541.476987";"51087.844523";"-85316.524806";"Dor";"2654605.561975547"
;;;"-9.240";"B";"0.080";"7041.781277";"34238.856248";"-93691.590013";"Dor";"432513.8310350088"
;;;"-11.680";"A";"0.100";"16331.392065";"79548.375086";"58355.305282";"Aur";"4092606.597300118"
;;;"-11.780";"K5";"1.574";"8481.451513";"41483.709901";"90593.414734";"Cam";"4487453.899331323"
;;;"-10.620";"G6III/IVp";"0.838";"8620.150270";"42229.011574";"-90235.267998";"Dor";"1541700.4529495584"
;;;"-11.000";"M2";"1.898";"19059.931929";"93472.736035";"29992.776015";"Tau";"2187761.623949552"
;;;"-11.390";"K2";"1.421";"17006.770684";"83483.998970";"52356.390889";"Aur";"3133285.7243155953"
;;;"-10.430";"A0";"0.100";"2610.462921";"12825.323284";"99139.782964";"Cep";"1294195.8414499862"
;;;"-12.320";"B8";"0.054";"15925.370450";"78349.323888";"60064.681988";"Aur";"7379042.30129103"
;;;"-10.230";"M0";"1.448";"18204.153621";"90562.755877";"-38301.384294";"Lep";"1076465.213629835"
;;;"-11.220";"B5";"-0.014";"15475.439173";"77018.724670";"61875.898434";"Aur";"2679168.3248190368"
;;;"-11.520";"B9IV/V";"-0.066";"14106.199851";"70261.354984";"-69744.943341";"Pic";"3531831.697919563"
;;;"-11.680";"A2";"0.177";"9067.019436";"45209.402976";"88734.993329";"Cam";"4092606.597300118"
;;;"-13.840";"A0V";"0.084";"11749.737981";"58718.830555";"80087.718144";"Aur";"29922646.36608183"
;;;"-11.660";"K5";"1.665";"19431.385427";"97586.716536";"-9962.630986";"Ori";"4017908.108489392"
;;;"-9.580";"B8";"0.026";"19327.756988";"97470.952375";"11218.344485";"Ori";"591561.6341754743"
;;;"-9.450";;;"16705.680104";"84666.357416";"50522.551146";"Aur";"524807.4602497723"
;;;"-11.960";"B8V";"-0.050";"19354.240873";"98109.134501";"105.298231";"Ori";"5296634.438916592"
;;;"-7.830";"M0";"1.293";"18728.537522";"97406.651343";"12695.911019";;"118032.06356517298"
;;;"-9.450";"A2";"0.234";"18805.488706";"98215.548645";"-244.128817";"Ori";"524807.4602497723"
;;;"-9.910";"M3";"1.237";"18462.692156";"96482.914224";"18712.997124";"Ori";"801678.0633876789"
;;;"-10.870";"M3";"1.433";"17028.382475";"89321.114420";"-41614.573277";"Lep";"1940885.8775927792"
;;;"-11.320";"M...";"1.642";"18630.964188";"97912.089417";"8130.800668";"Ori";"2937649.6519615366"
;;;"-10.590";"G0";"1.179";"18012.237732";"94918.662366";"-25807.108064";"Lep";"1499684.835502374"
;;;"-10.930";"G5";"0.608";"18343.816117";"97074.438562";"15493.798374";"Ori";"2051162.1788255668"
;;;"-10.740";"Ap...";"0.007";"17328.467348";"91840.701174";"-35566.976639";"Lep";"1721868.5749860096"
;;;"-11.020";"M2";"1.667";"8674.273877";"46117.341026";"88305.989771";"Cam";"2228435.149270303"
;;;"-12.460";"K5";"1.958";"15660.072369";"83511.587260";"52731.176041";"Aur";"8394599.865193998"
;;;"-10.530";"A2";"0.397";"18005.464462";"96504.254756";"-19045.526077";"Lep";"1419057.5216890925"
;;;"-9.250";"B";"-0.012";"6311.415321";"33866.074733";"-93878.938100";"Dor";"436515.83224016655"
;;;"-11.960";"K3III";"1.452";"17876.783039";"96064.076836";"-21262.967095";"Lep";"5296634.438916592"
;;;"-12.080";"B8";"0.090";"14370.956241";"77860.401846";"61083.823072";"Aur";"5915616.341754743"
;;;"-11.310";"B9";"-0.017";"18040.968012";"97921.423042";"9269.216935";"Ori";"2910717.118066608"
;;;"-10.920";"B8";"0.145";"13995.213449";"76766.223954";"62538.634943";"Aur";"2032357.0109362209"
;;;"-10.570";"G8V";"0.934";"15153.743274";"83135.063238";"-53468.919246";"Col";"1472312.5024327193"
;;;"-8.940";"F0V";"0.511";"17266.566770";"94988.199514";"26059.693497";"Ori";"328095.293113119"
;;;"-10.700";"A0";"0.000";"11685.187366";"64468.862752";"75546.158947";"Aur";"1659586.9074375597"
;;;"-11.580";"M5/M6e";"1.200";"14699.501835";"81878.566703";"-55496.171764";"Col";"3732501.5779572064"
;;;"-11.300";"B5";"-0.048";"13823.052937";"77423.585609";"61761.732235";"Aur";"2884031.503126606"
"GJ 2040";;;"-10.360";"M0V";"0.994";"17504.308109";"98224.004411";"6756.045809";"Ori";"1213388.8504649762"
;;;"-11.970";"Am";"0.283";"13165.362605";"74057.131267";"65895.481908";"Aur";"5345643.593969724"
;;;"-10.850";"G0";"0.567";"17413.089181";"97979.698325";"9836.820695";"Ori";"1905460.7179632483"
;;;"-11.570";"K2";"1.493";"13761.709373";"78229.096919";"60752.150170";"Aur";"3698281.797802674"
;;;"-8.720";"B3";"-0.016";"6648.014759";"38011.081625";"-92254.872899";"Dor";"267916.83248190366"
;;;"-11.250";"K4";"1.661";"3067.830457";"17648.415299";"-98382.528193";"Men";"2754228.7033381746"
;;;"-8.740";"A0V";"0.170";"6695.643361";"38525.152001";"-92037.934226";"Dor";"272897.77828080405"
;;;"-13.210";"O7I...";"0.000";"13542.703113";"78236.996018";"60791.180589";"Aur";"16749428.760264415"
;;;"-10.300";"F8Ia";"0.594";"6936.819098";"40400.014454";"-91212.495706";"Dor";"1148153.6214968842"
;;;"-11.420";"K3II/IIICN.";"1.497";"8893.769178";"52079.703644";"-84903.506042";"Dor";"3221068.7912834347"
;;;"-10.570";"A0";"0.052";"14014.614980";"82317.577970";"55021.876777";"Aur";"1472312.5024327193"
;;;"-11.200";"B8";"0.040";"14010.249813";"82314.984737";"55026.867873";"Aur";"2630267.9918953762"
;;;"-10.540";"B8";"0.177";"13640.672331";"80459.866825";"57793.960399";"Aur";"1432187.8992735425"
;;;"-11.060";"G5";"1.053";"5565.028717";"33214.628817";"94158.477515";"Cam";"2312064.7901755986"
;;;"-11.400";"B5";"0.058";"12695.990550";"76096.605543";"63624.825306";"Aur";"3162277.6601683795"
;;;"-12.480";"A0";"0.000";"11598.126333";"69650.766496";"70811.398743";"Aur";"8550667.128846822"
;;;"-10.970";"A5";"0.312";"16397.445887";"98486.285948";"5619.185752";"Ori";"2128139.0459827133"
;;;"-11.290";"B3";"0.060";"13607.598558";"81978.311748";"55627.238431";"Aur";"2857590.5433749496"
;;;"-10.310";"B3";"0.077";"13599.609438";"81977.955187";"55629.717655";"Aur";"1158777.3561551261"
;;;"-10.420";"A0";"0.100";"8984.409361";"54371.573325";"83444.666711";"Cam";"1282330.582656023"
